,agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
10187,10187,2509,1542,8,1,MANDATORY,5104943
26978,26978,2355,71,7,5,MANDATORY,5052318
15459,15459,2171,1200,7,1,MANDATORY,5675963
26022,26022,2355,740,7,1,MANDATORY,2083642
4129,4129,2173,984,7,1,MANDATORY,7316521
8638,8638,1004,2059,7,0,MANDATORY,5042373
19025,19025,2341,2152,8,5,MANDATORY,5676200
28538,28538,2173,1702,7,2,MANDATORY,4644963
29074,29074,2355,810,8,2,MANDATORY,4668997
2661,2661,2424,1604,8,3,MANDATORY,1038693
6351,6351,2355,1140,8,3,MANDATORY,5204854
9325,9325,2078,2059,8,0,MANDATORY,5484350
18756,18756,393,2354,7,1,MANDATORY,2039489
13698,13698,786,84,7,1,MANDATORY,1927913
27571,27571,2355,180,7,0,MANDATORY,2198653
17551,17551,876,1542,8,1,MANDATORY,3735862
12035,12035,110,1542,7,5,MANDATORY,2887471
19906,19906,2211,2354,7,3,MANDATORY,7006412
22351,22351,768,2354,7,1,MANDATORY,4167073
23513,23513,715,2354,8,2,MANDATORY,823994
15898,15898,1485,2216,8,3,MANDATORY,7550505
12599,12599,1423,1542,8,2,MANDATORY,3197107
19435,19435,2292,2354,8,2,MANDATORY,2222892
27320,27320,2355,25,8,4,MANDATORY,2938323
24819,24819,773,2354,8,1,MANDATORY,823638
14250,14250,1332,84,8,1,MANDATORY,6520823
10530,10530,532,1542,7,0,MANDATORY,1420843
11238,11238,2424,1580,7,2,MANDATORY,7680787
15447,15447,1660,84,8,4,MANDATORY,87191
23454,23454,1770,2354,7,5,MANDATORY,2338756
23897,23897,715,2354,8,1,MANDATORY,7490497
23308,23308,2125,2354,7,5,MANDATORY,824330
11983,11983,1493,97,7,4,MANDATORY,3283653
5835,5835,2355,2216,8,0,MANDATORY,1047284
22284,22284,1815,2657,8,5,MANDATORY,5486258
28412,28412,2173,1616,7,4,MANDATORY,5777932
5545,5545,1884,601,7,5,MANDATORY,626155
6434,6434,1884,1709,7,3,MANDATORY,7321524
25701,25701,2122,2354,8,0,MANDATORY,4939555
20892,20892,557,2354,7,5,MANDATORY,2074030
22613,22613,204,2354,7,2,MANDATORY,5486351
2574,2574,2424,657,8,4,MANDATORY,1041064
24953,24953,1497,2354,8,1,MANDATORY,461912
23561,23561,1266,761,7,5,MANDATORY,461924
11433,11433,2424,2306,8,3,MANDATORY,311515
8089,8089,1637,2672,7,4,MANDATORY,1400070
23064,23064,2081,2354,8,5,MANDATORY,5676310
26342,26342,2355,1333,8,4,MANDATORY,2089239
611,611,2424,2031,7,2,MANDATORY,6311548
26325,26325,2355,1397,8,4,MANDATORY,2088131
9392,9392,2141,2059,7,3,MANDATORY,5219254
26686,26686,2355,914,8,5,MANDATORY,6048521
4795,4795,1884,415,7,3,MANDATORY,5482450
667,667,2424,573,7,2,MANDATORY,6855486
1329,1329,2191,84,8,5,MANDATORY,6637641
18716,18716,1330,1865,7,5,MANDATORY,4048046
20142,20142,370,73,7,1,MANDATORY,1928144
9515,9515,484,2059,7,5,MANDATORY,7653410
19925,19925,178,2354,8,3,MANDATORY,7489679
159,159,2355,2542,8,4,MANDATORY,4474033
28115,28115,1884,1942,8,5,MANDATORY,3152207
24476,24476,2531,2354,8,5,MANDATORY,2197059
19215,19215,1143,2354,7,2,MANDATORY,2050020
