GP_file,Longitude,Latitude
1464.csv,-93.41, 30.08
1465.csv,-93.42, 30.08
1466.csv,-93.43, 30.08
1467.csv,-93.75, 30.08
1468.csv,-93.76, 30.08
1469.csv,-93.77, 30.08
1470.csv,-93.78, 30.08
1471.csv,-93.79, 30.08
1472.csv,-93.80, 30.08
1473.csv,-93.20, 30.09
1474.csv,-93.21, 30.09
1475.csv,-93.22, 30.09
1476.csv,-93.23, 30.09
1477.csv,-93.24, 30.09
1478.csv,-93.25, 30.09
1479.csv,-93.26, 30.09
1480.csv,-93.27, 30.09
1481.csv,-93.28, 30.09
1482.csv,-93.29, 30.09
1483.csv,-93.30, 30.09
1484.csv,-93.31, 30.09
1485.csv,-93.32, 30.09
1486.csv,-93.33, 30.09
1487.csv,-93.34, 30.09
1488.csv,-93.35, 30.09
1489.csv,-93.36, 30.09
1490.csv,-93.37, 30.09
1491.csv,-93.38, 30.09
1492.csv,-93.39, 30.09
1493.csv,-93.40, 30.09
1494.csv,-93.41, 30.09
1495.csv,-93.42, 30.09
1496.csv,-93.43, 30.09
1497.csv,-93.21, 30.10
1498.csv,-93.22, 30.10
1499.csv,-93.23, 30.10
1500.csv,-93.24, 30.10
1501.csv,-93.25, 30.10
1502.csv,-93.26, 30.10
1503.csv,-93.27, 30.10
1504.csv,-93.28, 30.10
1505.csv,-93.29, 30.10
1506.csv,-93.30, 30.10
1507.csv,-93.31, 30.10
1508.csv,-93.32, 30.10
1509.csv,-93.33, 30.10
1510.csv,-93.34, 30.10
1511.csv,-93.35, 30.10
1512.csv,-93.36, 30.10
1513.csv,-93.37, 30.10
1514.csv,-93.38, 30.10
1515.csv,-93.39, 30.10
1516.csv,-93.40, 30.10
1517.csv,-93.41, 30.10
1518.csv,-93.42, 30.10
1519.csv,-93.43, 30.10
1520.csv,-93.21, 30.11
1521.csv,-93.22, 30.11
1522.csv,-93.23, 30.11
1523.csv,-93.24, 30.11
1524.csv,-93.25, 30.11
1525.csv,-93.26, 30.11
1526.csv,-93.27, 30.11
1527.csv,-93.28, 30.11
1528.csv,-93.29, 30.11
1529.csv,-93.30, 30.11
1530.csv,-93.31, 30.11
1531.csv,-93.32, 30.11
1532.csv,-93.33, 30.11
1533.csv,-93.34, 30.11
1534.csv,-93.35, 30.11
1535.csv,-93.36, 30.11
1536.csv,-93.37, 30.11
1537.csv,-93.38, 30.11
1538.csv,-93.39, 30.11
1539.csv,-93.40, 30.11
1540.csv,-93.41, 30.11
1541.csv,-93.42, 30.11
1542.csv,-93.43, 30.11
1543.csv,-93.22, 30.12
1544.csv,-93.23, 30.12
1545.csv,-93.24, 30.12
1546.csv,-93.25, 30.12
1547.csv,-93.26, 30.12
1548.csv,-93.27, 30.12
1549.csv,-93.28, 30.12
1550.csv,-93.29, 30.12
1551.csv,-93.30, 30.12
1552.csv,-93.31, 30.12
1553.csv,-93.32, 30.12
1554.csv,-93.33, 30.12
1555.csv,-93.34, 30.12
1556.csv,-93.35, 30.12
1557.csv,-93.36, 30.12
1558.csv,-93.37, 30.12
1559.csv,-93.38, 30.12
1560.csv,-93.39, 30.12
1561.csv,-93.40, 30.12
1562.csv,-93.41, 30.12
1563.csv,-93.42, 30.12
1564.csv,-93.23, 30.13
1565.csv,-93.24, 30.13
1566.csv,-93.25, 30.13
1567.csv,-93.26, 30.13
1568.csv,-93.27, 30.13
1569.csv,-93.28, 30.13
1570.csv,-93.29, 30.13
1571.csv,-93.30, 30.13
1572.csv,-93.31, 30.13
1573.csv,-93.32, 30.13
1574.csv,-93.33, 30.13
1575.csv,-93.34, 30.13
1576.csv,-93.35, 30.13
1577.csv,-93.36, 30.13
1578.csv,-93.37, 30.13
1579.csv,-93.38, 30.13
1580.csv,-93.39, 30.13
1581.csv,-93.40, 30.13
1582.csv,-93.41, 30.13
1583.csv,-93.42, 30.13
1584.csv,-93.24, 30.14
1585.csv,-93.25, 30.14
1586.csv,-93.26, 30.14
1587.csv,-93.27, 30.14
1588.csv,-93.28, 30.14
1589.csv,-93.29, 30.14
1590.csv,-93.30, 30.14
1591.csv,-93.31, 30.14
1592.csv,-93.32, 30.14
1593.csv,-93.33, 30.14
1594.csv,-93.34, 30.14
1595.csv,-93.35, 30.14
1596.csv,-93.36, 30.14
1597.csv,-93.37, 30.14
1598.csv,-93.38, 30.14
1599.csv,-93.39, 30.14
1600.csv,-93.40, 30.14
1601.csv,-93.41, 30.14
1602.csv,-93.26, 30.15
1603.csv,-93.27, 30.15
1604.csv,-93.28, 30.15
1605.csv,-93.29, 30.15
1606.csv,-93.30, 30.15
1607.csv,-93.31, 30.15
1608.csv,-93.32, 30.15
1609.csv,-93.33, 30.15
1610.csv,-93.34, 30.15
1611.csv,-93.35, 30.15
1612.csv,-93.36, 30.15
1613.csv,-93.37, 30.15
1614.csv,-93.38, 30.15
1615.csv,-93.39, 30.15
1616.csv,-93.40, 30.15
1617.csv,-93.27, 30.16
1618.csv,-93.28, 30.16
1619.csv,-93.29, 30.16
1620.csv,-93.30, 30.16
1621.csv,-93.31, 30.16
1622.csv,-93.32, 30.16
1623.csv,-93.33, 30.16
1624.csv,-93.34, 30.16
1625.csv,-93.35, 30.16
1626.csv,-93.36, 30.16
1627.csv,-93.37, 30.16
1628.csv,-93.38, 30.16
1629.csv,-93.39, 30.16
1630.csv,-93.29, 30.17
1631.csv,-93.30, 30.17
1632.csv,-93.31, 30.17
1633.csv,-93.32, 30.17
1634.csv,-93.33, 30.17
1635.csv,-93.34, 30.17
1636.csv,-93.35, 30.17
1637.csv,-93.36, 30.17
1638.csv,-93.37, 30.17
1639.csv,-93.65, 29.98
1640.csv,-93.63, 29.98
1641.csv,-93.60, 29.98
1642.csv,-93.57, 29.98
1643.csv,-93.55, 29.98
1644.csv,-93.53, 29.98
1645.csv,-93.50, 29.98
1646.csv,-93.47, 29.98
1647.csv,-93.15, 29.98
1648.csv,-93.13, 29.98
1649.csv,-93.10, 29.98
1650.csv,-93.07, 29.98
1651.csv,-93.05, 29.98
1652.csv,-93.03, 29.98
1653.csv,-93.00, 29.98
1654.csv,-92.97, 29.98
1655.csv,-93.65, 30.00
1656.csv,-93.63, 30.00
1657.csv,-93.60, 30.00
1658.csv,-93.57, 30.00
1659.csv,-93.55, 30.00
1660.csv,-93.53, 30.00
1661.csv,-93.50, 30.00
1662.csv,-93.47, 30.00
1663.csv,-93.45, 30.00
1664.csv,-93.18, 30.00
1665.csv,-93.15, 30.00
1666.csv,-93.13, 30.00
1667.csv,-93.10, 30.00
1668.csv,-93.07, 30.00
1669.csv,-93.05, 30.00
1670.csv,-93.03, 30.00
1671.csv,-93.00, 30.00
1672.csv,-92.97, 30.00
1673.csv,-92.95, 30.00
1674.csv,-93.68, 30.02
1675.csv,-93.65, 30.02
1676.csv,-93.63, 30.02
1677.csv,-93.60, 30.02
1678.csv,-93.57, 30.02
1679.csv,-93.55, 30.02
1680.csv,-93.53, 30.02
1681.csv,-93.50, 30.02
1682.csv,-93.47, 30.02
1683.csv,-93.45, 30.02
1684.csv,-93.18, 30.02
1685.csv,-93.15, 30.02
1686.csv,-93.13, 30.02
1687.csv,-93.10, 30.02
1688.csv,-93.07, 30.02
1689.csv,-93.05, 30.02
1690.csv,-93.03, 30.02
1691.csv,-93.00, 30.02
1692.csv,-92.97, 30.02
1693.csv,-92.95, 30.02
1694.csv,-92.93, 30.02
1695.csv,-93.70, 30.05
1696.csv,-93.68, 30.05
1697.csv,-93.65, 30.05
1698.csv,-93.63, 30.05
1699.csv,-93.60, 30.05
1700.csv,-93.57, 30.05
1701.csv,-93.55, 30.05
1702.csv,-93.53, 30.05
1703.csv,-93.50, 30.05
1704.csv,-93.47, 30.05
1705.csv,-93.45, 30.05
1706.csv,-93.18, 30.05
1707.csv,-93.15, 30.05
1708.csv,-93.13, 30.05
1709.csv,-93.10, 30.05
1710.csv,-93.07, 30.05
1711.csv,-93.05, 30.05
1712.csv,-93.03, 30.05
1713.csv,-93.00, 30.05
1714.csv,-92.97, 30.05
1715.csv,-92.95, 30.05
1716.csv,-92.93, 30.05
1717.csv,-92.90, 30.05
1718.csv,-92.88, 30.05
1719.csv,-93.72, 30.08
1720.csv,-93.70, 30.08
1721.csv,-93.68, 30.08
1722.csv,-93.65, 30.08
1723.csv,-93.63, 30.08
1724.csv,-93.60, 30.08
1725.csv,-93.57, 30.08
1726.csv,-93.55, 30.08
1727.csv,-93.53, 30.08
1728.csv,-93.50, 30.08
1729.csv,-93.47, 30.08
1730.csv,-93.45, 30.08
1731.csv,-93.18, 30.08
1732.csv,-93.15, 30.08
1733.csv,-93.13, 30.08
1734.csv,-93.10, 30.08
1735.csv,-93.07, 30.08
1736.csv,-93.05, 30.08
1737.csv,-93.03, 30.08
1738.csv,-93.00, 30.08
1739.csv,-92.97, 30.08
1740.csv,-92.95, 30.08
1741.csv,-92.93, 30.08
1742.csv,-92.90, 30.08
1743.csv,-92.88, 30.08
1744.csv,-92.85, 30.08
1745.csv,-93.80, 30.10
1746.csv,-93.78, 30.10
1747.csv,-93.75, 30.10
1748.csv,-93.72, 30.10
1749.csv,-93.70, 30.10
1750.csv,-93.68, 30.10
1751.csv,-93.65, 30.10
1752.csv,-93.63, 30.10
1753.csv,-93.60, 30.10
1754.csv,-93.57, 30.10
1755.csv,-93.55, 30.10
1756.csv,-93.53, 30.10
1757.csv,-93.50, 30.10
1758.csv,-93.47, 30.10
1759.csv,-93.45, 30.10
1760.csv,-93.20, 30.10
1761.csv,-93.18, 30.10
1762.csv,-93.15, 30.10
1763.csv,-93.13, 30.10
1764.csv,-93.10, 30.10
1765.csv,-93.07, 30.10
1766.csv,-93.05, 30.10
1767.csv,-93.03, 30.10
1768.csv,-93.00, 30.10
1769.csv,-92.97, 30.10
1770.csv,-92.95, 30.10
1771.csv,-92.93, 30.10
1772.csv,-92.90, 30.10
1773.csv,-92.88, 30.10
1774.csv,-92.85, 30.10
1775.csv,-93.80, 30.13
1776.csv,-93.78, 30.13
1777.csv,-93.75, 30.13
1778.csv,-93.72, 30.13
1779.csv,-93.70, 30.13
1780.csv,-93.68, 30.13
1781.csv,-93.65, 30.13
1782.csv,-93.63, 30.13
1783.csv,-93.60, 30.13
1784.csv,-93.57, 30.13
1785.csv,-93.55, 30.13
1786.csv,-93.53, 30.13
1787.csv,-93.50, 30.13
1788.csv,-93.47, 30.13
1789.csv,-93.45, 30.13
1790.csv,-93.43, 30.13
1791.csv,-93.20, 30.13
1792.csv,-93.18, 30.13
1793.csv,-93.15, 30.13
1794.csv,-93.13, 30.13
1795.csv,-93.10, 30.13
1796.csv,-93.07, 30.13
