BldgID,Latitude,Longitude,BuildingType,StructureType,NumberOfStories,Height,PlanArea,RoofShape,RoofQuality,RoofSystem,RoofCover,SecondaryWaterResistance,RoofDeckAttachment,RoofToWallConnection,NumberOfUnits,JoistSpacing,Garage,Shutters,WindowArea,TieDowns,MasonryReinforcing,WindDebrisClass,LandCover,OccupancyClass,Footprint,Wind_Config
89,30.165053,-93.2716405,Wood,Single Family Housing,3,47.22,245.1,Gable,,Truss,,0,8d,Strap,,,Weak,0.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.271555, 30.165003], [-93.271555, 30.165103], [-93.271726, 30.165103], [-93.271726, 30.165003], [-93.271555, 30.165003]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.gab.0.8d.strap.wkd.0.15
90,30.17210047,-93.26945956,Wood,Single Family Housing,1,17.1,643.7,Hip,,Truss,,0,8d,Strap,,,Weak,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.269355, 30.1722], [-93.269595, 30.1722], [-93.269595, 30.172055], [-93.269459, 30.172055], [-93.269459, 30.171959], [-93.269354, 30.171959], [-93.269355, 30.1722]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.strap.wkd.0.35
91,30.2116525,-93.232165,Wood,Single Family Housing,1,17.49,346.6,Gable,,Truss,,0,8d,Toe-nail,,,No,1.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.232086, 30.211729], [-93.232244, 30.211729], [-93.232244, 30.211576], [-93.232086, 30.211576], [-93.232086, 30.211729]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.tnail.no.1.15
92,30.2083805,-93.2347565,Wood,Single Family Housing,2,25.75,199.6,Hip,,Truss,,0,8d,Toe-nail,,,Weak,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.234833, 30.208335], [-93.23468, 30.208335], [-93.23468, 30.208426], [-93.234833, 30.208426], [-93.234833, 30.208335]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.hip.0.8d.tnail.wkd.0.35
93,30.20918317,-93.23323308,Wood,Multi-Unit Housing,2,0.0,781.5,Gable,,Truss,,0,8d,Toe-nail,,,,0.0,,,,,Suburban,RES3A,"{""geometry"": {""coordinates"": [[[-93.23346, 30.209118], [-93.233042, 30.209114], [-93.233041, 30.20926], [-93.23333, 30.209263], [-93.233331, 30.209212], [-93.233459, 30.209213], [-93.23346, 30.209118]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.2.gab.null.null.0.8d.tnail.0.35
94,30.217322,-93.227664,Wood,Single Family Housing,1,11.73,296.3,Hip,,Truss,,0,8d,Toe-nail,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.227618, 30.217412], [-93.227742, 30.217394], [-93.22771, 30.217232], [-93.227586, 30.21725], [-93.227618, 30.217412]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.tnail.no.1.35
95,30.218406,-93.226853,Wood,Single Family Housing,1,16.52,104.9,Gable,,Truss,,0,8d,Toe-nail,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.22692, 30.218429], [-93.226913, 30.218372], [-93.226786, 30.218383], [-93.226793, 30.21844], [-93.22692, 30.218429]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.tnail.no.1.35
96,30.21418,-93.217562,Wood,Single Family Housing,1,16.21,238.0,Gable,,Truss,,0,8d,Toe-nail,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.217645, 30.21423], [-93.217645, 30.21413], [-93.217479, 30.21413], [-93.217479, 30.21423], [-93.217645, 30.21423]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.tnail.no.1.35
97,30.21634439,-93.20853222,Wood,Single Family Housing,1,18.03,246.8,Hip,,Truss,,0,8d,Toe-nail,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.20859, 30.216255], [-93.20852, 30.216255], [-93.20852, 30.216311], [-93.208461, 30.216311], [-93.208461, 30.216414], [-93.20859, 30.216414], [-93.20859, 30.216255]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.tnail.no.1.35
98,30.203004,-93.2226845,Wood,Multi-Unit Housing,1,15.0,244.7,Gable,,Truss,,1,8d,Toe-nail,,,,0.0,,,,,Suburban,RES3A,"{""geometry"": {""coordinates"": [[[-93.222604, 30.203057], [-93.222765, 30.203057], [-93.222765, 30.202951], [-93.222604, 30.202951], [-93.222604, 30.203057]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.1.gab.null.null.1.8d.tnail.0.35
