id,Latitude,Longitude,BuildingType,StructureType,NumberOfStories,Height,PlanArea,RoofShape,RoofQuality,RoofSystem,RoofCover,SecondaryWaterResistance,RoofDeckAttachment,RoofToWallConnection,NumberOfUnits,JoistSpacing,Garage,Shutters,WindowArea,TieDowns,MasonryReinforcing,WindDebrisClass,LandCover,OccupancyClass,DesignLevel,FoundationType,NoUnits,FloodZone,FirstFloorHt1,SplitLevel,City,YearBuiltNJDEP,YearBuiltMODIV,Footprint
38,39.41808578,-74.49079411,Wood,Single Family Housing,2,37.52877386,2130.586904,Gable,,Truss,,1,8d,Toe-nail,,,No,1,,,,,Open,RES1,NE,3505,1,AE,2.42,FALSE,Absecon,1985,1985,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.490909,39.418042],[-74.490790,39.418001],[-74.490725,39.418116],[-74.490756,39.418127],[-74.490733,39.418168],[-74.490821,39.418198],[-74.490909,39.418042]]]},""properties"":{}}"
39,39.42844694,-74.48894549,Wood,Single Family Housing,2,29.37497429,1869.599654,Gable,,Truss,,1,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3507,1,X,2.69,FALSE,Absecon,1985,1985,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.488992,39.428399],[-74.488864,39.428420],[-74.488890,39.428516],[-74.489088,39.428484],[-74.489070,39.428416],[-74.489000,39.428428],[-74.488992,39.428399]]]},""properties"":{}}"
40,39.42739257,-74.49000931,Wood,Single Family Housing,2,28.40233592,2535.380082,Gable,,Truss,,1,8s,Strap,,,No,1,,,,,Suburban,RES1,NE,3507,1,X,2.69,FALSE,Absecon,2002,2002,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489919,39.427471],[-74.490068,39.427495],[-74.490115,39.427323],[-74.490022,39.427308],[-74.490009,39.427357],[-74.489942,39.427347],[-74.489921,39.427427],[-74.489931,39.427428],[-74.489919,39.427471]]]},""properties"":{}}"
41,39.42848128,-74.49044973,Wood,Single Family Housing,2,29.37052287,2033.371188,Gable,,Truss,,1,8d,Strap,,,No,1,,,,,Open,RES1,NE,3507,1,AE,-0.02,FALSE,Absecon,2000,2000,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.490393,39.428406],[-74.490386,39.428557],[-74.490526,39.428561],[-74.490531,39.428441],[-74.490482,39.428440],[-74.490483,39.428409],[-74.490393,39.428406]]]},""properties"":{}}"
42,39.42888658,-74.48819524,Wood,Single Family Housing,2,28.11638607,1537.029962,Gable,,Truss,,1,8d,Toe-nail,,,Weak,0,,,,,Open,RES1,NE,3507,1,AE,0.04,FALSE,Absecon,1985,1985,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.488279,39.428810],[-74.488107,39.428875],[-74.488177,39.428986],[-74.488249,39.428959],[-74.488213,39.428902],[-74.488313,39.428865],[-74.488279,39.428810]]]},""properties"":{}}"
43,39.42756621,-74.49054428,Wood,Single Family Housing,2,39.04686847,2397.361919,Gable,,Truss,,1,8d,Toe-nail,,,Weak,0,,,,,Open,RES1,NE,3507,1,AE,-0.06,FALSE,Absecon,1986,1986,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.490525,39.427473],[-74.490533,39.427544],[-74.490458,39.427549],[-74.490470,39.427657],[-74.490649,39.427645],[-74.490629,39.427466],[-74.490525,39.427473]]]},""properties"":{}}"
44,39.42950434,-74.4959074,Wood,Single Family Housing,2,39.08447083,1353.859856,Gable,,Truss,,1,8s,Strap,,,Superior,1,,,,,Suburban,RES1,NE,3505,1,X,-0.78,FALSE,Absecon,2009,2009,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.496020,39.429484],[-74.495864,39.429457],[-74.495837,39.429547],[-74.495993,39.429575],[-74.496020,39.429484]]]},""properties"":{}}"
45,39.42314749,-74.4980805,Wood,Single Family Housing,1,16.87867121,864.6167508,Gable,,Truss,,0,8d,Toe-nail,,,No,1,,,,,Suburban,RES1,NE,3505,1,X,-1.22,FALSE,Absecon,1961,1961,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.498157,39.423131],[-74.498044,39.423105],[-74.498016,39.423177],[-74.498129,39.423203],[-74.498157,39.423131]]]},""properties"":{}}"
46,39.423357,-74.49879688,Wood,Single Family Housing,2,35.10855052,1672.139306,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Open,RES1,NE,3505,1,X,0.9,FALSE,Absecon,1900,1900,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.498808,39.423297],[-74.498804,39.423311],[-74.498750,39.423300],[-74.498718,39.423396],[-74.498846,39.423422],[-74.498858,39.423384],[-74.498890,39.423390],[-74.498914,39.423318],[-74.498808,39.423297]]]},""properties"":{}}"
47,39.41943053,-74.4942316,Concrete,Engineered Commercial Building,3,46.12421466,982.7318714,Gable,,Truss,Built-Up Roof,,,,,,,0,0.2,,,A,Open,COM1,E,3507,1,AE,2.62,FALSE,Absecon,1969,0,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.494389,39.419344],[-74.494294,39.419312],[-74.494200,39.419478],[-74.494294,39.419510],[-74.494389,39.419344]]]},""properties"":{}}"
48,39.42442181,-74.50582553,Wood,Single Family Housing,1,17.42568258,1091.512604,Hip,,Truss,,0,8d,Toe-nail,,,No,1,,,,,Suburban,RES1,NE,3505,1,X,-2.7,FALSE,Absecon,1960,1960,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505800,39.424360],[-74.505749,39.424465],[-74.505843,39.424493],[-74.505895,39.424388],[-74.505800,39.424360]]]},""properties"":{}}"
49,39.42407729,-74.50562536,Wood,Single Family Housing,2,37.24692703,1783.441833,Gable,,Truss,,0,8d,Toe-nail,,,No,1,,,,,Suburban,RES1,NE,3505,1,X,0.91,FALSE,Absecon,1920,1920,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505550,39.424092],[-74.505723,39.424156],[-74.505767,39.424085],[-74.505594,39.424021],[-74.505550,39.424092]]]},""properties"":{}}"
